Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
ST_CTRL	Ctrl	TMT_MAGIC_LEVEL_4	Even humanistic sceptics would label this woman a witch	SMT_OPEN_OPTIONS_WINDOW	Set game options	I will not wear a crown of gold where my Saviour wore one of thorns 	Godfrey of Bouillon, First king of Jerusalem				
ST_SHIFT	Shift	TMT_MAGIC_LEVEL_5	Her unnatural powers are great enough that she no longer bothers to hide them	SMT_OPEN_FINANCE_WINDOW	Open finances window	Nothing is ever motivated purely by religion or ideology. They wanted the money. It was as simple as that. 	Godfrey of Bouillon, First king of Jerusalem				
ST_ALT	Alt	TMT_MAGIC_LEVEL_6	Has been seen by many using dark arts as a weapon against the righteous	SMT_OPEN_DIPLOMACY_WINDOW	Open diplomatic standing window	A! fredome is a noble thing	John Barbour (1320 –1395), The Brus				
ST_ANY	Any	TMT_MAGIC_LEVEL_7	This witch wields power that is unholy, unnatural, and seemingly unstoppable	SMT_FACTION_BUTTON_TOOLTIP	Open faction summary window\nUse right mouse button to locate faction capital	As wes king Robert off Scotland, þat hardy wes off hart and hand; And gud Schyr Iames off Douglas, þat in his tyme sa worthy was,þat off hys price & hys bounte In fer landis renoenyt wes he.	John Barbour (1320 –1395), The Brus				
ST_THE_SEA	The Sea	TMT_MAGIC_LEVEL_8	No bounds are known to this omnipotent crone's arcane arts	SMT_SELECTED_ITEM_TOOLTIP	Current selected item\nClick once to zoom to item	Mieczów ci u nas dostatek, ale i te przyjmujemy jako wróżbę zwycięstwa, które mi sam Bóg przez wasze ręce zsyła. We have no shortage of swords, but even these we accept as a foretelling of our victory, which God himself sends me through your hands.	Władysław II Jagiełło to the Teuton emissaries before the Battle of Tannenburg				
ST_LAKE	Internal water	TMT_MAGIC_LEVEL_9	Performs miracles on par with those of the Messiah	SMT_BUILD_QUEUE_CONFLICT	This building is already in the build queue for this settlement	Even their dreams cannot reach where our hands can reach.	Mehmed II the Conqueror, Ottoman Sultan, talking of the Byzantines (1432-1481)				
ST_SHOW_FURTHER_DETAILS	Show detailed information	TMT_MAGIC_LEVEL_10	So terrible are her powers men of the cloth are dubbing her the Anti-Christ	SMT_BUILD_QUEUE_FULL	Cannot add this item as the build queue is full	Logic has made me hated by the world.	Pierre Abelard, French Theologian				
ST_DIRT	Dirt	TMT_NEGATIVE_CHARM	So vile is this woman that the doomsayers consider her a bad omen	SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS	Cannot purchase this building as you have insufficient funds	Now according to civil laws it is just for buyer and seller to deceive one another, and this occurs by the seller selling a thing for more than it is worth, and the buyer buying a thing for less than it is worth. Therefore, it is lawful to sell a thing for more than its worth.	Thomas Aquinas, Of Cheating, Which Is Committed in Buying and Selling d.1274				
ST_ADVISOR_BUTTON_DISMISS	Dismiss advice	TMT_NEGATIVE_FINANCE	It is questionable whether or not this man can count properly	SMT_TRAINING_INSUFFICIENT_POPULACE	Cannot add this item as there aren't enough people in this settlement to recruit	And as the stroke that falls upon the shield saves the knight, right so the knight ought to call himself out and present his body to his lord when his lord is in peril of being hurt or taken.	Ramon Lull, Book of Knighthood and Chivalry d.1315				
ST_ADVISOR_BUTTON_SHOW_ME	Show me how	TMT_NEGATIVE_PIETY	This man stops just short of publicly denouncing religion as nonsense	SMT_TRAINING_INSUFFICIENT_FUNDS	Cannot purchase this item as you have insufficient funds	This seems to me a thing to be noticed that just as the men of Ireland are during this mortal life more prone to anger and revenge than any other race, so in eternal death the saints of this land that have been elevated by their merits are more vindictive than the saints of any other region.	Gerald of Wales, The History and Topography of Ireland. d.1223 				
ST_ADVISOR_BUTTON_TOGGLE_BUBBLE	Toggle advisor text visibility	TMT_NEGATIVE_MAGIC	Her only power is to inspire gossip and rumours amongst nervous villagers	SMT_TRAINING_QUEUE_FULL	Cannot add this item as the training queue is full	Some students studied merely to acquire knowledge, which is curiosity; others to acquire fame, which is vanity; others still for the sake of gain, which is cupidity and the vice of simony. Very few studied for their own edification, or that of others.	Jacques de Vitry, cardinal, description of student life at Paris d. 1240				
ST_ADVISOR_BUTTON_ZOOM_TO	Show location of event	TMT_TRADER_TRADE_VALUE	Trading %S, generating %d florins per turn	SMT_WE_HAVE_MILITARY_ACCESS	We have military access	This work is the proper duty of the wise queen and princess: to be the means of peace and concord, to work for the avoidance of war because of the trouble that can come of it.	Christine de Pisan, The Treasure of the City of Ladies d.1434				
ST_VICTORY	Victory	TMT_TRADER_TRADE_TYPE	Trading %S	SMT_THEY_HAVE_MILITARY_ACCESS	They have military access	Disciplined ranks of armed knights suddenly made a foray, fell without warning on the defenceless men as they sat at table, and captured many, putting the rest to flight.	Orderic Vitalis, Book X, Chapter 8				
ST_DEFEAT	Defeat	TMT_NUM_MARRIAGES	%d marriage alliances with this faction 	SMT_PAYING_YOU_TRIBUTE_X_PER_TURN	Paying you %d florins in tribute per turn	...threatening some of the king's subjects with loss of life and limb, asserting that he would slay and dismember them wherever he should find them, either in the presence or absence of the king	Robert Lewer, constable of Odiham Castle threatens the men Edward II has sent to arrest him, 1320.				
ST_SHOW_BATTLE_RESULT	Show battle results	TMT_NEGATIVE_CHIVALRY	DO NOT TRANSLATE: SHOULD NEVER DISPLAY - negative chivalry	SMT_PAYING_THEM_TRIBUTE_X_PER_TURN	Paying them %d florins in tribute per turn	In his insane fury he hated all the magnates with such wickedness that he plotted to overthrow, once and for all and without distinction, the great men of the realm together with the whole English aristocracy.	Flores Historiarum, 1322				
ST_GAME_OPTIONS	Game Options	TMT_CHIVALRY_LEVEL_0	Neither remarkably noble nor nefarious	SMT_ASSISTANCE_REQUESTED_AGAINST	Assistance requested against: 	May help come from you, our lord, if it please you, for in you, Sire, is all our hope and trust.	Scottish Earl of Ross, whose lands were being invaded by Robert the Bruce, appeals to the English King Edward II Longshanks in 1308				
ST_SHOW_RTM	Show Movie	TMT_CHIVALRY_LEVEL_1	A well meaning warrior, still prone to barbaric ways	SMT_ASSISTANCE_PROVIDED_AGAINST	Assistance provided against: 	I have seized England with my bare hands!	William the Conqueror on falling from his ship onto the beach landing before the Battle of Hastings				
ST_RESET_ADVICE	Reset Advisor	TMT_CHIVALRY_LEVEL_2	This man favours good virtues, he simply hasn't mastered them	SMT_CONFIRM_OFFER	Confirm offer details	In regione caecorum rex est luscus. (In the country of the blind the one-eyed man is king.) 	Erasmus				
ST_VIDEO_DETAIL_NONE	None	TMT_CHIVALRY_LEVEL_3	More noble than a mere mercenary, but hardly known as a defender of the faith	SMT_CANCEL_OFFER	Cancel offer details	Si è morto il Doge, no la Signoria (The Doge is dead, but the Senate is living) 	Formal declaration spoken on the death of a Doge of Venice				
ST_VIDEO_DETAIL_LOW	Low	TMT_CHIVALRY_LEVEL_4	Despite a few discrepancies, this man has only honourable intentions	SMT_OFFER_MONEY_TITLE	Offer Money	Owre kynge went forth to Normandy, With grace and myght of chyvalry; Ther God for hym wrought mervlusly, Wherfore Englonde may calle and cry,	The Agincourt Carol, 1415				
ST_VIDEO_DETAIL_MEDIUM	Medium	TMT_CHIVALRY_LEVEL_5	Manages to adhere to the codes of chivalry admirably	SMT_DEMAND_MONEY_TITLE	Demand Money	Oh my warriors, whither would you flee? Behind you is the sea, before you, the enemy. 	Tariq ibn Zayid, 711				
ST_VIDEO_DETAIL_HIGH	High	TMT_CHIVALRY_LEVEL_6	Genuinely chivalrous and honourable to both master and minion alike	SMT_AMOUNT_OF_DENARI	Amount of florins	O ye who believe! Fight the unbelievers who gird you about, and let them find firmness in you: and know that Allah is with those who fear Him.	Qur'an, 9:123				
ST_GAME_OPTIONS_REVOLTS	Revolts	TMT_CHIVALRY_LEVEL_7	A man who would rather die than dishonour himself, or his people	SMT_OFFER_TRIBUTE_TITLE	Offer Tribute	There can be no government without an army, No army without money, No money without prosperity, And no prosperity without justice and good administration.	Ibn Qutayba				
ST_GAME_OPTIONS_BARBARIANS	Barbarian Horde	TMT_CHIVALRY_LEVEL_8	Will only do what is right and just, even upon pain of death	SMT_DEMAND_TRIBUTE	Demand Tribute	There is no man at arms who can use courtesy or kindness to face his enemy	Fiore dei Liberi, 1410				
ST_GAME_OPTIONS_DISASTERS	Disasters	TMT_CHIVALRY_LEVEL_9	A true champion of honour and virtue, revered even by his enemies	SMT_NUMBER_OF_YEARS	Number of turns	The precious jade has no crust on it, the polished dagger has no dirt on it; man born to life is not deathless, he must go from this world without home, without resting place. The glory of a deed lies in being finished. Firm and unbending is he who keeps a plighted word faithfully. Do not follow the will of others, and you shall have the good-will of many.	Chinggis Khaan				
ST_GAME_OPTIONS_RANDOM_HARVEST	Random Harvests	TMT_CHIVALRY_LEVEL_10	Destined to be considered the patron saint of knights	SMT_OR_UNTIL_FURTHER_NOTICE	Or until further notice	Dieu et mon droit ("God and My Right")	Royal motto of England, first used as a password by King Richard the Lionheart in 1198 at the Battle of Gisors				
ST_GAME_OPTIONS_CHARACTER_AGING	Character Aging	TMT_NEGATIVE_DREAD	DO NOT TRANSLATE: SHOULD NEVER DISPLAY - negative dread	SMT_UNTIL_FURTHER_NOTICE	Until further notice	A wife which is good, laborious, and silent is a crown to her husband. 	The Domostroi, 15th Century Russian Moral Codex				
ST_FACTION_SELECT_ARCADE_BATTLES	Arcade Battles	TMT_DREAD_LEVEL_0	DO NOT TRANSLATE: SHOULD NEVER DISPLAY ZERO DREAD, IT SHOULD BE ZERO CHIVALRY	SMT_DEMAND_ATTACK_ON_FACTION	Demand Attack On Faction	Don't pity a youngling while beating him: if you punish him with a rod, he will not die, but become healthier.	The Domostroi, 15th Century Russian Moral Codex				
ST_GAME_OPTIONS_TIME_LIMIT	No Campaign Battle Time Limit	TMT_DREAD_LEVEL_1	More concerned with survival than fighting honourably	SMT_OFFER_ATTACK_ON_FACTION	Offer Attack On Faction	But if your wife does not live according to this teaching and instruction, if she does not teach her servants, then as husband you should beat her when you are alone together	The Domostroi, 15th Century Russian Moral Codex				
ST_GAME_OPTIONS_TITLE	Game Options	TMT_DREAD_LEVEL_2	Known for adopting less than admirable tactics to achieve victory	SMT_WITHIN	Within 	Give to the orphan, protect the widow, and permit the mighty to destroy no man...	Testament of a medieval Russian prince				
ST_FACTION_SELECT_ADVISOR_LEVEL	Advice Level	TMT_DREAD_LEVEL_3	Has a habit of unnerving seasoned opponents with his overly grizzly ways	SMT_YEARS	Turns	Do not introduce the new, nor destroy the old	Charter of Polotsk to the Lithuanian princes, 1250				
ST_GAME_OPTIONS_CAMPAIGN_SETTINGS	Campaign Settings	TMT_DREAD_LEVEL_4	Consciously works terror and blackmail into his strategies	SMT_GIVE	Give: 	He goes with 100 picked men to plunder and harass the pagans entering four villages not warned of their coming and putting to the sword whoever they find beginning their night's sleep including all men, women and children.	Wigand of Marburg describing the duties of the Teutonic Knight's latrunculi, 1372				
ST_GAME_OPTIONS_REALISM	Realism Settings	TMT_DREAD_LEVEL_5	Some say his troops follow him out of fear rather than loyalty or pride	SMT_DEMAND_SETTLEMENT_TITLE	Demand Settlements	Möngke ṭngri-yin küčündür -By the will of Eternal Blue Heaven: our god Tengri	Words on the Seal from Güyüg Khan's letter to Pope Innocent IV, 1246.				
ST_GAME_OPTIONS_RESTRICT	Restrict Camera	TMT_DREAD_LEVEL_6	Shamelessly takes pleasure in causing pain and suffering	SMT_OFFER_SETTLEMENT_TITLE	Offer Settlements	I was so often tired when I rowed thee	Runic inscription on an oar washed up on the shore of Iceland from Greenland				
ST_GAME_OPTIONS_DEFAULT_CAMERA	TotalWar Camera	TMT_DREAD_LEVEL_7	Commonly tortures his subjects as a display of authority	SMT_CITY	City	The lawful heiress of the empire, Isabella, governed the country together with her husband, and led a pious, religious life. She was blessed for her good deeds and exemplary life by many children, the numerous offsprings of a famous race.	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
ST_GAME_OPTIONS_GENERAL_CAMERA	General Camera	TMT_DREAD_LEVEL_8	A man so malevolent, he considers honour and virtue foolish weaknesses	SMT_CHARACTERS	Agents	After the death of Thoros, his only son and heir was cast into prison by some wicked people, who administered to him a poisonous drug, thus the principality came to Leon, the brother of Thoros 	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
ST_GAME_OPTIONS_RTS_CAMERA	RTS Camera	TMT_DREAD_LEVEL_9	A notorious champion of darkness capable of evils few others are	SMT_STATUS	Status	Thoros was of a tall figure and of a strong mind: his compassion was universal; like the light of the sun he shone by his good works, and flourished by his faith; he was the shield of truth and the crown of righteousness	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
ST_GAME_OPTIONS_CAMERA_MODE	Camera Mode	TMT_DREAD_LEVEL_10	Even the dauntless must be forced to face such a man	SMT_CHARACTER_PERFORMED_TURNS_ACTION	The selected character has performed a mission this turn	He was an excellent prince, compassionate and kind; he ruled the country very well, and was praised by everybody.	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
ST_GAME_OPTIONS_ROTATE_CAMERA	Camera Rotation Speed	TMT_NEGATIVE_AUTHORITY	Purely a figurehead, this man's people do not think of him as their leader	SMT_TARGET_TILE_IS_IMPASSABLE	The target position is invalid for this character type	At his death left the crown to Leon; he gave him many rules concerning the government of the country, and committed to him his daughters, with an injunction not to give them foreign husbands, that the Armenians might not be governed by foreigners and harassed by a tyrant.	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
ST_GAME_OPTIONS_MOVE_CAMERA	Camera Movement Speed	TMT_AUTHORITY_LEVEL_0	Even his own servants think twice before completing their choresasda	SMT_CANNOT_LEAVE_SIEGED_FORT	Nobody can leave a fort when under siege except to attack the sieging army	Leon invited many famous warriors to join him, and allured them by great rewards. Forward in battle, he prepared himself, and often fought against the foreigners or infidels, took their forts and put all the inhabitants to the sword. He was the admiration of warriors, and the fear of foreigners or infidels, so that they called him the new Ashtahag.	Vahram of Edessa: The Rhymed Chronicle of Armenia Minor				
